recorded_at,aqi,aqi_category,pm25,pm10,no2,so2,co,o3,nh3,temperature,humidity,wind_speed,wind_direction,pressure
2026-01-01T00:00,121,Unhealthy for Sensitive Groups,31.0,32.7,0.6,1.8,287.0,125.0,,,,,,
2026-01-01T01:00,119,Unhealthy for Sensitive Groups,25.0,26.3,0.4,1.4,272.0,123.0,,,,,,
2026-01-01T02:00,117,Unhealthy for Sensitive Groups,19.6,20.6,0.4,1.1,267.0,118.0,,,,,,
2026-01-01T03:00,114,Unhealthy for Sensitive Groups,13.6,14.3,0.5,1.0,279.0,110.0,,,,,,
2026-01-01T04:00,111,Unhealthy for Sensitive Groups,8.4,8.9,0.8,1.0,302.0,99.0,,,,,,
2026-01-01T05:00,107,Unhealthy for Sensitive Groups,11.4,11.7,1.0,1.4,324.0,105.0,,,,,,
2026-01-01T06:00,104,Unhealthy for Sensitive Groups,8.3,8.4,1.5,1.8,345.0,99.0,,,,,,
2026-01-01T07:00,100,Moderate,7.0,7.1,2.2,2.4,366.0,91.0,,,,,,
2026-01-01T08:00,97,Moderate,7.0,7.1,2.6,3.4,376.0,86.0,,,,,,
2026-01-01T09:00,94,Moderate,8.2,8.3,2.5,5.1,368.0,88.0,,,,,,
2026-01-01T10:00,91,Moderate,10.1,10.3,2.2,7.2,350.0,93.0,,,,,,
2026-01-01T11:00,89,Moderate,11.2,11.5,1.8,8.4,334.0,98.0,,,,,,
2026-01-01T12:00,87,Moderate,11.5,11.9,1.5,8.1,326.0,104.0,,,,,,
2026-01-01T13:00,84,Moderate,11.3,11.8,1.1,6.9,320.0,110.0,,,,,,
2026-01-01T14:00,82,Moderate,10.8,11.4,0.9,5.5,312.0,114.0,,,,,,
2026-01-01T15:00,80,Moderate,9.8,10.5,0.9,4.1,295.0,114.0,,,,,,
2026-01-01T16:00,78,Moderate,8.7,9.7,1.1,2.5,275.0,111.0,,,,,,
2026-01-01T17:00,76,Moderate,15.1,16.6,1.4,1.6,267.0,102.0,,,,,,
2026-01-01T18:00,72,Moderate,11.7,13.9,1.3,1.2,282.0,95.0,,,,,,
2026-01-01T19:00,69,Moderate,8.7,11.3,1.3,0.6,308.0,85.0,,,,,,
2026-01-01T20:00,66,Moderate,6.0,8.0,1.3,0.2,326.0,77.0,,,,,,
2026-01-01T21:00,63,Moderate,4.6,6.2,1.5,0.1,326.0,73.0,,,,,,
2026-01-01T22:00,60,Moderate,4.0,5.4,1.8,0.3,317.0,71.0,,,,,,
2026-01-01T23:00,57,Moderate,3.8,4.9,2.0,0.4,308.0,70.0,,,,,,
2026-01-02T00:00,54,Moderate,3.4,4.5,2.0,0.4,298.0,69.0,,,,,,
2026-01-02T01:00,52,Moderate,3.4,4.5,1.9,0.4,288.0,69.0,,,,,,
2026-01-02T02:00,50,Good,3.3,4.3,1.9,0.6,283.0,69.0,,,,,,
2026-01-02T03:00,47,Good,3.3,4.4,1.9,0.8,287.0,68.0,,,,,,
2026-01-02T04:00,44,Good,3.5,4.6,2.0,1.2,298.0,68.0,,,,,,
2026-01-02T05:00,43,Good,10.3,11.0,4.5,4.1,313.0,63.0,,,,,,
2026-01-02T06:00,43,Good,10.5,11.3,4.5,4.3,341.0,63.0,,,,,,
2026-01-02T07:00,43,Good,10.9,11.6,4.4,4.7,374.0,64.0,,,,,,
2026-01-02T08:00,44,Good,11.6,12.4,4.2,5.7,388.0,68.0,,,,,,
2026-01-02T09:00,45,Good,14.1,15.1,3.6,8.0,364.0,78.0,,,,,,
2026-01-02T10:00,47,Good,19.0,20.3,2.9,10.8,320.0,92.0,,,,,,
2026-01-02T11:00,49,Good,24.4,26.0,2.2,12.5,289.0,104.0,,,,,,
2026-01-02T12:00,51,Moderate,28.2,30.0,1.7,12.1,286.0,113.0,,,,,,
2026-01-02T13:00,52,Moderate,29.6,31.3,1.4,10.4,296.0,122.0,,,,,,
2026-01-02T14:00,53,Moderate,29.3,31.1,1.2,8.6,305.0,127.0,,,,,,
2026-01-02T15:00,55,Moderate,29.7,31.4,1.2,6.7,308.0,129.0,,,,,,
2026-01-02T16:00,56,Moderate,26.8,28.3,1.3,4.6,309.0,128.0,,,,,,
2026-01-02T17:00,58,Moderate,29.5,31.2,1.7,4.1,309.0,123.0,,,,,,
2026-01-02T18:00,66,Moderate,27.7,29.4,1.8,3.4,306.0,123.0,,,,,,
2026-01-02T19:00,73,Moderate,26.1,27.8,1.9,2.5,302.0,122.0,,,,,,
2026-01-02T20:00,76,Moderate,25.0,26.7,2.1,1.8,301.0,120.0,,,,,,
2026-01-02T21:00,78,Moderate,24.6,26.3,2.3,1.5,307.0,116.0,,,,,,
2026-01-02T22:00,77,Moderate,24.9,26.8,2.6,1.5,317.0,112.0,,,,,,
2026-01-02T23:00,74,Moderate,26.0,28.0,2.8,1.9,326.0,106.0,,,,,,
2026-01-03T00:00,69,Moderate,27.1,29.5,3.0,2.7,334.0,99.0,,,,,,
2026-01-03T01:00,70,Moderate,28.0,30.5,3.1,3.9,341.0,91.0,,,,,,
2026-01-03T02:00,72,Moderate,29.0,31.7,3.2,5.1,350.0,85.0,,,,,,
2026-01-03T03:00,74,Moderate,29.7,32.2,3.3,6.2,363.0,81.0,,,,,,
2026-01-03T04:00,76,Moderate,30.5,33.1,3.5,7.3,377.0,79.0,,,,,,
2026-01-03T05:00,78,Moderate,31.8,34.5,3.9,9.6,387.0,75.0,,,,,,
2026-01-03T06:00,80,Moderate,32.9,35.6,4.1,9.4,390.0,77.0,,,,,,
2026-01-03T07:00,81,Moderate,33.2,35.5,4.2,9.1,390.0,80.0,,,,,,
2026-01-03T08:00,83,Moderate,35.0,37.4,4.1,8.5,392.0,87.0,,,,,,
2026-01-03T09:00,85,Moderate,37.6,39.8,3.3,7.3,401.0,101.0,,,,,,
2026-01-03T10:00,87,Moderate,38.4,40.6,2.3,5.8,413.0,118.0,,,,,,
2026-01-03T11:00,88,Moderate,37.3,39.5,1.4,4.5,417.0,131.0,,,,,,
2026-01-03T12:00,89,Moderate,35.6,38.0,1.0,3.6,409.0,137.0,,,,,,
2026-01-03T13:00,90,Moderate,33.1,35.5,0.8,2.8,394.0,138.0,,,,,,
2026-01-03T14:00,90,Moderate,31.0,33.5,0.7,2.2,376.0,137.0,,,,,,
2026-01-03T15:00,90,Moderate,28.6,31.4,0.8,1.7,353.0,133.0,,,,,,
2026-01-03T16:00,90,Moderate,26.4,29.3,0.9,1.3,327.0,126.0,,,,,,
2026-01-03T17:00,90,Moderate,28.5,31.0,1.3,1.6,307.0,125.0,,,,,,
