recorded_at,wave_height_m,wave_direction_deg,wave_period_s,sea_surface_temp_c,sea_level_height_msl_m
2025-01-01T00:00,1.48,70,6.1,28.5,0.96
2025-01-01T01:00,1.46,68,6.1,28.5,1.06
2025-01-01T02:00,1.46,67,6.1,28.4,1.1
2025-01-01T03:00,1.46,65,6.05,28.4,1.05
2025-01-01T04:00,1.44,64,5.95,28.3,0.93
2025-01-01T05:00,1.44,62,5.9,28.3,0.77
2025-01-01T06:00,1.44,61,5.85,28.3,0.59
2025-01-01T07:00,1.44,61,5.8,28.3,0.44
2025-01-01T08:00,1.44,60,5.75,28.3,0.35
2025-01-01T09:00,1.44,60,5.7,28.3,0.35
2025-01-01T10:00,1.44,60,5.7,28.3,0.42
2025-01-01T11:00,1.44,60,5.7,28.3,0.54
2025-01-01T12:00,1.44,61,5.7,28.3,0.67
2025-01-01T13:00,1.46,63,5.75,28.4,0.77
2025-01-01T14:00,1.46,64,5.75,28.4,0.82
2025-01-01T15:00,1.46,66,5.75,28.4,0.8
2025-01-01T16:00,1.46,67,5.8,28.5,0.73
2025-01-01T17:00,1.46,69,5.8,28.5,0.61
2025-01-01T18:00,1.44,70,5.8,28.5,0.49
2025-01-01T19:00,1.44,71,5.85,28.4,0.39
2025-01-01T20:00,1.42,72,5.85,28.4,0.36
2025-01-01T21:00,1.38,73,5.85,28.4,0.4
2025-01-01T22:00,1.34,73,5.9,28.3,0.51
2025-01-01T23:00,1.3,74,5.9,28.3,0.67
2025-01-02T00:00,1.28,75,5.95,28.2,0.84
2025-01-02T01:00,1.28,75,6.0,28.2,0.97
2025-01-02T02:00,1.26,76,6.0,28.1,1.04
2025-01-02T03:00,1.24,76,5.95,28.1,1.03
2025-01-02T04:00,1.24,75,5.85,28.0,0.95
2025-01-02T05:00,1.22,75,5.8,28.0,0.81
2025-01-02T06:00,1.22,76,5.85,28.0,0.62
2025-01-02T07:00,1.22,76,5.95,28.0,0.44
2025-01-02T08:00,1.22,77,6.05,28.0,0.32
2025-01-02T09:00,1.18,78,6.1,28.0,0.28
2025-01-02T10:00,1.16,78,6.15,28.1,0.34
2025-01-02T11:00,1.12,79,6.2,28.1,0.46
2025-01-02T12:00,1.12,79,6.25,28.1,0.59
2025-01-02T13:00,1.12,80,6.3,28.1,0.71
2025-01-02T14:00,1.12,80,6.35,28.2,0.8
2025-01-02T15:00,1.14,80,6.35,28.2,0.83
2025-01-02T16:00,1.14,81,6.35,28.3,0.79
2025-01-02T17:00,1.16,81,6.3,28.3,0.69
2025-01-02T18:00,1.16,80,6.25,28.3,0.56
2025-01-02T19:00,1.18,80,6.2,28.2,0.46
2025-01-02T20:00,1.18,79,6.15,28.2,0.39
2025-01-02T21:00,1.16,78,6.15,28.1,0.38
2025-01-02T22:00,1.16,78,6.15,28.1,0.45
2025-01-02T23:00,1.14,77,6.15,28.0,0.59
2025-01-03T00:00,1.14,77,6.2,28.0,0.75
2025-01-03T01:00,1.12,77,6.25,27.9,0.9
2025-01-03T02:00,1.12,77,6.3,27.9,0.99
2025-01-03T03:00,1.14,77,6.45,27.9,1.03
2025-01-03T04:00,1.16,78,6.6,27.8,0.99
2025-01-03T05:00,1.18,78,6.7,27.8,0.88
2025-01-03T06:00,1.18,77,6.8,27.8,0.71
2025-01-03T07:00,1.18,76,6.8,27.8,0.54
2025-01-03T08:00,1.18,75,6.8,27.8,0.39
2025-01-03T09:00,1.2,73,6.7,27.8,0.32
2025-01-03T10:00,1.24,71,6.5,27.8,0.33
2025-01-03T11:00,1.26,69,6.35,27.8,0.42
2025-01-03T12:00,1.26,70,6.25,27.9,0.54
2025-01-03T13:00,1.26,70,6.2,27.9,0.68
2025-01-03T14:00,1.26,71,6.15,27.9,0.8
2025-01-03T15:00,1.28,72,6.1,28.0,0.86
2025-01-03T16:00,1.3,73,6.1,28.0,0.85
2025-01-03T17:00,1.32,74,6.1,28.0,0.79
2025-01-03T18:00,1.3,75,6.1,28.0,0.69
2025-01-03T19:00,1.3,76,6.15,28.0,0.56
2025-01-03T20:00,1.28,77,6.2,28.0,0.46
2025-01-03T21:00,1.26,77,6.2,27.9,0.43
2025-01-03T22:00,1.22,77,6.2,27.9,0.46
2025-01-03T23:00,1.2,77,6.25,27.8,0.56
2025-01-04T00:00,1.18,79,6.3,27.8,0.71
2025-01-04T01:00,1.14,80,6.4,27.7,0.87
2025-01-04T02:00,1.12,82,6.45,27.7,0.99
2025-01-04T03:00,1.08,84,6.5,27.6,1.04
2025-01-04T04:00,1.02,87,6.6,27.6,1.04
2025-01-04T05:00,0.98,89,6.65,27.6,0.96
2025-01-04T06:00,0.96,90,6.75,27.6,0.82
2025-01-04T07:00,0.94,91,6.8,27.6,0.65
2025-01-04T08:00,0.92,92,6.85,27.6,0.49
2025-01-04T09:00,0.92,90,6.85,27.6,0.4
2025-01-04T10:00,0.92,89,6.85,27.6,0.36
2025-01-04T11:00,0.92,87,6.8,27.6,0.4
2025-01-04T12:00,0.92,87,6.75,27.7,0.51
2025-01-04T13:00,0.92,87,6.65,27.7,0.64
2025-01-04T14:00,0.92,87,6.6,27.7,0.78
2025-01-04T15:00,0.92,88,6.55,27.8,0.87
